Datum,Klicks,Impressionen,CTR,Position
2026-05-19,7,170,4.12%,14.1
2026-05-20,8,138,5.8%,14.3
2026-05-21,5,166,3.01%,13.4
2026-05-22,7,206,3.4%,16.1
2026-05-23,5,167,2.99%,12.5
2026-05-24,14,233,6.01%,14.1
2026-05-25,16,286,5.59%,13
2026-05-26,12,169,7.1%,14.1
2026-05-27,9,150,6%,13.5
2026-05-28,9,182,4.95%,18.1
2026-05-29,9,254,3.54%,17.2
2026-05-30,6,124,4.84%,12.9
2026-05-31,5,170,2.94%,10.5
2026-06-01,17,196,8.67%,13.2
2026-06-02,2,117,1.71%,13.3
2026-06-03,9,148,6.08%,11.7
2026-06-04,12,166,7.23%,11.8
2026-06-05,6,169,3.55%,16.4
2026-06-06,11,145,7.59%,12.1
2026-06-07,12,213,5.63%,16.8
2026-06-08,6,215,2.79%,15.7
2026-06-09,7,197,3.55%,17.3
2026-06-10,10,140,7.14%,12
2026-06-11,7,179,3.91%,17.4
2026-06-12,7,172,4.07%,15.2
2026-06-13,8,146,5.48%,12
2026-06-14,6,166,3.61%,11.7
2026-06-15,4,183,2.19%,14.7
2026-06-16,9,240,3.75%,16.6
2026-06-17,7,175,4%,13.8
2026-06-18,8,130,6.15%,11.1
2026-06-19,8,180,4.44%,12.3
2026-06-20,10,135,7.41%,7.9
2026-06-21,11,179,6.15%,12.9
2026-06-22,9,181,4.97%,10
2026-06-23,4,134,2.99%,9.8
2026-06-24,14,159,8.81%,13.3
2026-06-25,12,163,7.36%,11.7
2026-06-26,10,169,5.92%,15
2026-06-27,9,187,4.81%,10.4
2026-06-28,12,229,5.24%,11.3
2026-06-29,8,182,4.4%,13.4
2026-06-30,8,200,4%,13.5
2026-07-01,8,186,4.3%,20.2
2026-07-02,8,124,6.45%,8
2026-07-03,8,191,4.19%,16
2026-07-04,12,196,6.12%,14.8
2026-07-05,6,208,2.88%,17.9
2026-07-06,4,161,2.48%,13.2
2026-07-07,13,166,7.83%,9.5
2026-07-08,6,179,3.35%,17.6
2026-07-09,5,132,3.79%,13
2026-07-10,6,159,3.77%,15.1
2026-07-11,6,125,4.8%,11
2026-07-12,20,193,10.36%,10.2
2026-07-13,11,183,6.01%,13.3
2026-07-14,16,153,10.46%,11.2
2026-07-15,9,177,5.08%,18.5
2026-07-16,12,115,10.43%,10.3
2026-07-17,8,174,4.6%,11.9
2026-07-18,5,123,4.07%,11.4
2026-07-19,9,174,5.17%,15.8
2026-07-20,7,136,5.15%,11.6
2026-07-21,9,123,7.32%,8.8
2026-07-22,10,183,5.46%,12.8
2026-07-23,15,150,10%,9.6
2026-07-24,9,172,5.23%,12.7
2026-07-25,9,161,5.59%,15
2026-07-26,9,164,5.49%,10.1
2026-07-27,9,186,4.84%,15.1
2026-07-28,16,176,9.09%,11.4
2026-07-29,13,199,6.53%,18.4
2026-07-30,9,164,5.49%,10.2
2026-07-31,4,335,1.19%,18.2
2026-08-01,6,161,3.73%,12
2026-08-02,8,202,3.96%,14.1
2026-08-03,10,190,5.26%,10.1
2026-08-04,12,146,8.22%,9.3
2026-08-05,7,157,4.46%,19.1
2026-08-06,3,101,2.97%,12.4
2026-08-07,9,196,4.59%,15
2026-08-08,4,187,2.14%,10.5
2026-08-09,18,205,8.78%,10
2026-08-10,12,184,6.52%,10.4
2026-08-11,10,146,6.85%,11.5
2026-08-12,9,182,4.95%,16
2026-08-13,9,176,5.11%,9.9
2026-08-14,3,140,2.14%,12.9
2026-08-15,17,160,10.62%,9.2
2026-08-16,4,175,2.29%,11.4
2026-08-17,9,138,6.52%,10.2
2026-08-18,12,143,8.39%,10.7
