Land,Klicks,Impressionen,CTR,Position
Deutschland,773,13298,5.81%,12.39
Österreich,19,545,3.49%,11.65
Schweiz,12,387,3.1%,19.44
Italien,7,224,3.12%,10.92
Niederlande,4,63,6.35%,7.17
Spanien,2,30,6.67%,12.73
Frankreich,1,36,2.78%,16.72
Südkorea,1,32,3.12%,28.62
Brasilien,1,30,3.33%,25.63
Japan,1,14,7.14%,34.5
Kroatien,1,11,9.09%,6.82
Türkei,1,10,10%,20.7
Ungarn,1,7,14.29%,17.14
Dänemark,1,4,25%,3
Luxemburg,1,3,33.33%,1.67
Slowenien,1,3,33.33%,6.67
Norwegen,1,2,50%,6
USA,0,388,0%,8.41
Indien,0,147,0%,32.5
Indonesien,0,61,0%,39.16
Philippinen,0,59,0%,35.42
Vereinigtes Königreich,0,49,0%,17.82
Vietnam,0,41,0%,26.02
Kolumbien,0,26,0%,33.92
Argentinien,0,25,0%,35
Bangladesch,0,21,0%,30.9
Belgien,0,19,0%,8.74
Algerien,0,16,0%,33.06
Kanada,0,15,0%,24.4
Ägypten,0,15,0%,33.6
Pakistan,0,14,0%,26.43
Russland,0,13,0%,23.62
Venezuela,0,10,0%,27.4
Taiwan,0,10,0%,27.5
Peru,0,10,0%,34.5
Dominikanische Republik,0,10,0%,34.9
Bolivien,0,10,0%,35
Malaysia,0,10,0%,35.8
Mexiko,0,9,0%,23.78
Rumänien,0,8,0%,15.88
Griechenland,0,7,0%,4.86
Ukraine,0,7,0%,23.57
Irak,0,7,0%,42.14
Äthiopien,0,7,0%,45.57
Marokko,0,6,0%,32.33
Kenia,0,6,0%,60.83
Liechtenstein,0,5,0%,14.6
Schweden,0,5,0%,16.6
Ecuador,0,5,0%,24
Nigeria,0,5,0%,29
Thailand,0,5,0%,44.2
Israel,0,5,0%,44.6
Saudi-Arabien,0,5,0%,46.8
Tschechien,0,4,0%,7.5
Polen,0,4,0%,26.75
Südafrika,0,4,0%,47.5
Nepal,0,4,0%,50.5
Guatemala,0,4,0%,51.25
Sri Lanka,0,3,0%,5
Tunesien,0,3,0%,5.67
Uruguay,0,3,0%,10
Hongkong,0,3,0%,16.33
Kasachstan,0,3,0%,23.33
Bosnien und Herzegowina,0,3,0%,24
El Salvador,0,3,0%,29.67
Chile,0,3,0%,30
Belarus,0,3,0%,42.33
Honduras,0,3,0%,80
Namibia,0,2,0%,9
Australien,0,2,0%,10.5
Irland,0,2,0%,13
Kosovo,0,2,0%,15
Vereinigte Arabische Emirate,0,2,0%,18.5
Armenien,0,2,0%,18.5
Senegal,0,2,0%,18.5
Bulgarien,0,2,0%,29
Gabun,0,2,0%,34
Jordanien,0,2,0%,38
China,0,2,0%,40.5
Malta,0,2,0%,48
Paraguay,0,2,0%,65
Republik Moldau,0,1,0%,1
Mazedonien,0,1,0%,1
Bahamas,0,1,0%,4
Portugal,0,1,0%,5
Iran,0,1,0%,7
Aserbaidschan,0,1,0%,8
Kirgisistan,0,1,0%,9
Serbien,0,1,0%,9
Seychellen,0,1,0%,9
Zypern,0,1,0%,10
Neuseeland,0,1,0%,10
Slowakei,0,1,0%,10
Finnland,0,1,0%,11
Aruba,0,1,0%,13
Costa Rica,0,1,0%,17
Kuwait,0,1,0%,17
Côte d’Ivoire,0,1,0%,25
Usbekistan,0,1,0%,29
Ruanda,0,1,0%,30
Fidschi,0,1,0%,33
Georgien,0,1,0%,34
Antigua und Barbuda,0,1,0%,36
Palästina,0,1,0%,36
Ghana,0,1,0%,43
Tuvalu,0,1,0%,43
Singapur,0,1,0%,50
Kongo-Kinshasa,0,1,0%,52
Oman,0,1,0%,53
Französisch-Polynesien,0,1,0%,61
Dominica,0,1,0%,70
Guyana,0,1,0%,91
