# Farbwerte aus allen CSS-Dateien in extract/css/ + inline-styles.txt
# Quellen: cf7-styles-public.css, cookieblocker.min.css, et-core-unified-deferred-461.min.css, et-core-unified-deferred-81.min.css, et-divi-dynamic-81.css, et-divi-open-sans.css, mediaelementplayer-legacy.min.css, style.min.css, styles.css, wp-mediaelement.min.css, inline-styles.txt
# Format: <Trefferzahl>  <Farbwert> (absteigend nach Haeufigkeit sortiert)
# Hinweis: reine Zeichenketten-Extraktion; #id-Selektoren mit Bindestrich sind ausgeschlossen.

   107  #fff
    30  #000
    22  #ffffff
    21  #333
    19  #2ea3f2
    13  #0000
    12  rgba(0,0,0,.1)
    11  #666
     8  #eee
     8  #777777
     8  rgba(0,0,0,.3)
     8  rgba(0,0,0,.6)
     7  #555
     7  hsla(0,0%,100%,.4)
     6  #ffffffa6
     6  hsla(0,0%,100%,.9)
     5  #ddd
     5  #ccc
     5  hsla(0,0%,100%,.5)
     4  #173f68
     4  #949494
     4  #f0f0f0
     4  #dc3232
     4  rgba(0,0,0,.2)
     4  rgba(0,0,0,.03)
     4  hsla(0,0%,100%,.8)
     3  #fffc
     3  #5a5a5a40
     3  rgba(0,0,0,0.5)
     3  rgba(0,0,0,.35)
     3  rgba(0,0,0,0.1)
     3  rgba(0,0,0,.5)
     3  rgba(0,0,0,.7)
     3  hsla(0,0%,8%,.5)
     2  #bbb
     2  #999
     2  #444
     2  #f90
     2  #1ea0c3
     2  #0757fe
     2  #0a7aff
     2  #1e1f26
     2  #02e49b
     2  #5865f2
     2  #e94c89
     2  #4280ff
     2  #f45800
     2  #0866ff
     2  #0461dd
     2  #e65678
     2  #24292d
     2  #382110
     2  #ea4434
     2  #1d4fc4
     2  #f00075
     2  #e21b24
     2  #0d66c2
     2  #3288d4
     2  #f6405f
     2  #e60122
     2  #ef4155
     2  #ff4500
     2  #0478d7
     2  #ff5600
     2  #1bd760
     2  #2aabee
     2  #011835
     2  #6440a4
     2  #1da1f2
     2  #1eb7ea
     2  #4680c2
     2  #3499cd
     2  #25d366
     2  #d32422
     2  #f3f4f5
     2  #e9fbe5
     2  #e7f5fe
     2  #fcf0ef
     2  #313131
     2  #00d084
     2  #0693e3
     2  #ededed
     2  rgba(50,50,50,.7)
     2  rgba(255,105,0,1)
     2  rgba(0,0,0,0.2)
     2  rgba(0,0,0,1)
     2  rgba(0,0,0,.05)
     2  rgba(0,139,219,.247059)
     2  rgba(41,196,169,.15)
     2  rgba(0,0,0,.07)
     2  hsla(0,0%,100%,.3)
     1  #cecece
     1  #222222
     1  #1f1f1f
     1  #1f6581
     1  #111
     1  #c8c8c8
     1  #21f8f8
     1  #40464d
     1  #000000b3
     1  #0000004d
     1  #0006
     1  #00000026
     1  #eceadd
     1  #fefc00
     1  #34e2e4
     1  #4721fb
     1  #ab1dfe
     1  #faaca8
     1  #dad0ec
     1  #fafae1
     1  #67a671
     1  #fdd79a
     1  #004a59
     1  #330968
     1  #31cdcf
     1  #020381
     1  #2874fc
     1  #00a0d2
     1  #46b450
     1  #f56e28
     1  #ffb900
     1  #23282d
     1  #fbfbfc
     1  #222
     1  #0073aa
     1  #a00
     1  #f7f7f7
     1  #000000
     1  #abb8c3
     1  #f78da7
     1  #cf2e2e
     1  #ff6900
     1  #fcb900
     1  #7bdcb5
     1  #8ed1fc
     1  #9b51e0
     1  #32373c
     1  #4e4e4e
     1  #2d3940
     1  #3e3e3e
     1  #f3f3f3
     1  #e2e2e2
     1  #974df3
     1  #7e3bd0
     1  #29c4a9
     1  #464646
     1  #161616
     1  #517fa4
     1  #3b5998
     1  #1b3668
     1  rgba(0,0,0,0.15)
     1  rgba(255,255,255,0.7)
     1  rgba(0,0,0,0.32)
     1  rgba(255,255,255,0.05)
     1  rgba(255,0,0,.7)
     1  rgba(50,50,50,.8)
     1  rgba(255,255,255,.33)
     1  rgba(6,147,227,1)
     1  rgb(155,81,224)
     1  rgb(122,220,180)
     1  rgb(0,208,130)
     1  rgba(252,185,0,1)
     1  rgb(207,46,46)
     1  rgb(238,238,238)
     1  rgb(169,184,195)
     1  rgb(74,234,220)
     1  rgb(151,120,209)
     1  rgb(207,42,186)
     1  rgb(238,44,130)
     1  rgb(251,105,98)
     1  rgb(254,248,76)
     1  rgb(255,206,236)
     1  rgb(152,150,240)
     1  rgb(254,205,165)
     1  rgb(254,45,45)
     1  rgb(107,0,62)
     1  rgb(255,203,112)
     1  rgb(199,81,192)
     1  rgb(65,88,208)
     1  rgb(255,245,203)
     1  rgb(182,227,212)
     1  rgb(51,167,181)
     1  rgb(202,248,128)
     1  rgb(113,206,126)
     1  rgb(2,3,129)
     1  rgb(40,116,252)
     1  rgba(0,0,0,0.4)
     1  rgba(255,255,255,1)
     1  rgba(0,0,0,0.6)
     1  rgba(0,0,0,0)
     1  rgba(0,0,0,0.03)
     1  rgba(0,0,0,0.05)
     1  rgba(0,0,0,0.52)
     1  rgba(23,63,104,0.65)
     1  hsla(0,0%,100%,.2)
     1  hsla(0,0%,100%,.7)
